T,simNr,kernel,bandwidth,a,M1,S_T,data_reward,optimal_reward,regret
1700,6,gau,1/sqrt(T),1e-06,1e-06,146.78000000001148,252.65292958905485,278.48219607279714,25.829266483742288
1700,7,gau,1/sqrt(T),1e-06,1e-06,143.70000000001428,257.43464059388435,287.7072599803273,30.272619386442955
1700,8,gau,1/sqrt(T),1e-06,1e-06,147.23000000001107,259.82838051812314,285.80720539680317,25.97882487868003
1700,9,gau,1/sqrt(T),1e-06,1e-06,147.9800000000104,276.31237386759466,295.53503532613274,19.222661458538084
1800,0,gau,1/sqrt(T),1e-06,1e-06,149.12000000000936,273.5403168712861,294.54559861328096,21.00528174199485
1800,1,gau,1/sqrt(T),1e-06,1e-06,147.95000000001042,280.5838647044447,298.5497362709734,17.965871566528733
1800,2,gau,1/sqrt(T),1e-06,1e-06,148.04000000001034,270.2744245951119,301.9283387904462,31.653914195334323
1800,3,gau,1/sqrt(T),1e-06,1e-06,148.5300000000099,243.82871672889584,266.0275420873378,22.19882535844195
1800,4,gau,1/sqrt(T),1e-06,1e-06,152.5900000000062,296.8786770642356,324.09750237158113,27.218825307345526
1800,5,gau,1/sqrt(T),1e-06,1e-06,155.5600000000035,275.9971554018923,302.30535226827993,26.30819686638762
1800,6,gau,1/sqrt(T),1e-06,1e-06,155.87000000000322,284.7671567645855,320.46090829859224,35.693751534006765
1800,7,gau,1/sqrt(T),1e-06,1e-06,148.55000000000987,305.17179720688995,321.8238489495989,16.652051742708977
1800,8,gau,1/sqrt(T),1e-06,1e-06,157.68000000000157,274.5552647494398,295.3731416847525,20.81787693531271
1800,9,gau,1/sqrt(T),1e-06,1e-06,148.8400000000096,299.66714957868635,329.31205345780114,29.644903879114793
1900,0,gau,1/sqrt(T),1e-06,1e-06,154.88000000000412,319.1365734539043,332.6493052880274,13.512731834123088
1900,1,gau,1/sqrt(T),1e-06,1e-06,157.57000000000167,285.96196980595994,312.1014143505371,26.139444544577145
1900,2,gau,1/sqrt(T),1e-06,1e-06,154.42000000000453,313.51894431046117,345.0424862272186,31.523541916757438
1900,3,gau,1/sqrt(T),1e-06,1e-06,161.31999999999826,290.35536251231997,327.03279753508355,36.677435022763575
1900,4,gau,1/sqrt(T),1e-06,1e-06,158.6500000000007,280.4527242453249,306.82083416724976,26.368109921924884
1900,5,gau,1/sqrt(T),1e-06,1e-06,164.7999999999951,279.95543461929526,309.8198562368649,29.864421617569633
1900,6,gau,1/sqrt(T),1e-06,1e-06,154.43000000000453,289.9134496661615,327.7802727342939,37.86682306813236
1900,7,gau,1/sqrt(T),1e-06,1e-06,154.18000000000475,301.08284810170227,321.0789822301253,19.996134128423023
1900,8,gau,1/sqrt(T),1e-06,1e-06,155.1100000000039,292.2541228135078,316.41338573927834,24.15926292577052
1900,9,gau,1/sqrt(T),1e-06,1e-06,159.9599999999995,287.99303397952207,312.32902401198794,24.335990032465872
2000,0,gau,1/sqrt(T),1e-06,1e-06,169.03999999999124,284.5548856815891,320.0824124151414,35.52752673355229
2000,1,gau,1/sqrt(T),1e-06,1e-06,173.41999999998725,328.2744355513116,351.6418963466577,23.367460795346062
2000,2,gau,1/sqrt(T),1e-06,1e-06,160.1799999999993,302.83494539676894,335.88473984347996,33.04979444671102
2000,3,gau,1/sqrt(T),1e-06,1e-06,166.74999999999332,318.5849904160475,348.15376391927134,29.568773503223838
2000,4,gau,1/sqrt(T),1e-06,1e-06,159.57999999999984,308.4013970540467,334.78618748623694,26.384790432190243
2000,5,gau,1/sqrt(T),1e-06,1e-06,160.56999999999894,288.8835215969113,312.31518483853114,23.431663241619844
2000,6,gau,1/sqrt(T),1e-06,1e-06,162.3599999999973,326.6013998856059,357.5527553220962,30.951355436490303
2000,7,gau,1/sqrt(T),1e-06,1e-06,159.76999999999967,297.12100136979984,340.2743415049982,43.153340135198334
2000,8,gau,1/sqrt(T),1e-06,1e-06,164.2399999999956,305.60382727797383,339.35748810004065,33.75366082206682
2000,9,gau,1/sqrt(T),1e-06,1e-06,166.7799999999933,305.32662851658876,339.11617036443073,33.789541847841974
2100,0,gau,1/sqrt(T),1e-06,1e-06,167.60999999999254,326.6688019947117,358.29582441511155,31.62702242039984
2100,1,gau,1/sqrt(T),1e-06,1e-06,164.94999999999496,315.94876089694645,359.5217744451373,43.57301354819083
2100,2,gau,1/sqrt(T),1e-06,1e-06,169.33999999999097,342.4531568048657,372.06799345515395,29.614836650288225
2100,3,gau,1/sqrt(T),1e-06,1e-06,167.48999999999265,344.40423615425607,379.03857297716536,34.63433682290929
2100,4,gau,1/sqrt(T),1e-06,1e-06,169.22999999999107,307.688354340844,335.41041964923534,27.722065308391336
2100,5,gau,1/sqrt(T),1e-06,1e-06,175.08999999998574,311.53682254780625,340.28462080003146,28.74779825222521
2100,6,gau,1/sqrt(T),1e-06,1e-06,168.12999999999207,320.9436344882986,351.62773246337224,30.684097975073655
2100,7,gau,1/sqrt(T),1e-06,1e-06,166.13999999999388,303.82263475082226,345.4847550181616,41.66212026733933
2100,8,gau,1/sqrt(T),1e-06,1e-06,163.93999999999588,325.0169579692988,359.64433080449913,34.62737283520033
2100,9,gau,1/sqrt(T),1e-06,1e-06,163.49999999999628,310.8980462560291,350.1060050681104,39.2079588120813
2200,0,gau,1/sqrt(T),1e-06,1e-06,174.74999999998604,340.34581449163176,366.51782881793974,26.172014326307988
2200,1,gau,1/sqrt(T),1e-06,1e-06,171.0599999999894,348.07913562555905,386.5895357978462,38.51040017228718
2200,2,gau,1/sqrt(T),1e-06,1e-06,171.66999999998885,369.0218785752889,398.19705898182724,29.175180406538345
2200,3,gau,1/sqrt(T),1e-06,1e-06,173.66999999998703,324.33833264907605,356.64350904632477,32.305176397248715
2200,4,gau,1/sqrt(T),1e-06,1e-06,177.15999999998385,331.3672473767526,379.6310135523338,48.263766175581225
2200,5,gau,1/sqrt(T),1e-06,1e-06,174.18999999998655,354.1041852176936,404.10430505842055,50.00011984072694
2200,6,gau,1/sqrt(T),1e-06,1e-06,174.21999999998653,365.59954741948565,395.80131082530085,30.2017634058152
2200,7,gau,1/sqrt(T),1e-06,1e-06,171.3799999999891,318.85907509514004,354.703195219041,35.84412012390095
2200,8,gau,1/sqrt(T),1e-06,1e-06,176.36999999998457,320.98835980496733,347.6170590538416,26.628699248874284
2200,9,gau,1/sqrt(T),1e-06,1e-06,180.24999999998104,323.0212855229019,357.47245795361476,34.45117243071286
2300,0,gau,1/sqrt(T),1e-06,1e-06,194.82999999996778,359.2427316453392,380.23324867030294,20.990517024963765
2300,1,gau,1/sqrt(T),1e-06,1e-06,179.03999999998214,351.2409603625118,383.71816411134733,32.47720374883551
2300,2,gau,1/sqrt(T),1e-06,1e-06,176.3399999999846,375.77210574349283,411.42219485414665,35.65008911065382
2300,3,gau,1/sqrt(T),1e-06,1e-06,197.93999999996495,352.8068708571862,384.0390656481751,31.2321947909889
2300,4,gau,1/sqrt(T),1e-06,1e-06,180.54999999998077,329.07390590624493,369.17241412389296,40.09850821764803
2300,5,gau,1/sqrt(T),1e-06,1e-06,175.27999999998556,340.0462744588898,370.8078896442123,30.761615185322512
2300,6,gau,1/sqrt(T),1e-06,1e-06,174.18999999998655,348.60523125435725,385.413134429428,36.80790317507075
2300,7,gau,1/sqrt(T),1e-06,1e-06,177.25999999998376,365.8298431598256,397.9258369323472,32.09599377252158
2300,8,gau,1/sqrt(T),1e-06,1e-06,191.19999999997108,348.0307670933678,367.6060464116639,19.57527931829611
2300,9,gau,1/sqrt(T),1e-06,1e-06,178.9699999999822,354.15438573520333,400.65755553828814,46.5031698030848
2400,0,gau,1/sqrt(T),1e-06,1e-06,186.5699999999753,378.8034507224313,409.79506817232044,30.991617449889134
2400,1,gau,1/sqrt(T),1e-06,1e-06,202.0599999999612,428.88562022846844,458.24222051449107,29.356600286022626
2400,2,gau,1/sqrt(T),1e-06,1e-06,181.30999999998008,363.5245532826008,392.7064326422728,29.181879359671996
2400,3,gau,1/sqrt(T),1e-06,1e-06,180.54999999998077,349.22483343696626,377.2131620220411,27.98832858507484
2400,4,gau,1/sqrt(T),1e-06,1e-06,181.45999999997994,379.56341151864984,409.06817650700464,29.504764988354793
2400,5,gau,1/sqrt(T),1e-06,1e-06,182.53999999997896,369.2860190336896,402.0776920866523,32.791673052962665
2400,6,gau,1/sqrt(T),1e-06,1e-06,183.54999999997804,395.8455616890814,416.37573398830483,20.53017229922341
2400,7,gau,1/sqrt(T),1e-06,1e-06,182.12999999997933,354.9944944225478,391.0621757693681,36.06768134682028
2400,8,gau,1/sqrt(T),1e-06,1e-06,205.94999999995767,371.7893135623904,406.4427494782364,34.65343591584599
2400,9,gau,1/sqrt(T),1e-06,1e-06,179.5299999999817,359.27921677506106,391.67456173174884,32.39534495668778
2500,0,gau,1/sqrt(T),1e-06,1e-06,184.08999999997755,406.5697070103033,425.313543189989,18.743836179685673
2500,1,gau,1/sqrt(T),1e-06,1e-06,200.80999999996234,386.5749541277615,411.77526125854337,25.20030713078188
2500,2,gau,1/sqrt(T),1e-06,1e-06,184.709999999977,390.90253779943384,428.5756152878493,37.67307748841546
2500,3,gau,1/sqrt(T),1e-06,1e-06,187.60999999997435,405.9924395950368,431.73244910272456,25.740009507687773
2500,4,gau,1/sqrt(T),1e-06,1e-06,187.15999999997476,380.8140824804721,414.83376847302026,34.01968599254815
2500,5,gau,1/sqrt(T),1e-06,1e-06,185.76999999997602,435.69094824861315,467.81570624613965,32.1247579975265
2500,6,gau,1/sqrt(T),1e-06,1e-06,184.31999999997734,413.0567870882785,446.70164247224614,33.64485538396764
2500,7,gau,1/sqrt(T),1e-06,1e-06,187.0099999999749,400.2053551541711,444.2812542363404,44.07589908216926
2500,8,gau,1/sqrt(T),1e-06,1e-06,186.39999999997545,395.2317254327777,435.67819185728644,40.44646642450874
2500,9,gau,1/sqrt(T),1e-06,1e-06,184.07999999997756,410.5101001530949,449.07438622564126,38.56428607254634
2600,0,gau,1/sqrt(T),1e-06,1e-06,194.3699999999682,398.75118975829616,420.3261112236551,21.574921465358955
2600,1,gau,1/sqrt(T),1e-06,1e-06,197.31999999996552,382.43796602667476,406.5130236447755,24.075057618100743
2600,2,gau,1/sqrt(T),1e-06,1e-06,191.0599999999712,388.5240887728832,414.5257538899712,26.00166511708801
2600,3,gau,1/sqrt(T),1e-06,1e-06,191.99999999997036,377.61675272332985,418.6192556787728,41.002502955442935
2600,4,gau,1/sqrt(T),1e-06,1e-06,199.6399999999634,367.2153407172587,406.41370226968746,39.198361552428764
2600,5,gau,1/sqrt(T),1e-06,1e-06,191.7199999999706,378.93426914831275,421.5058176897779,42.57154854146518
2600,6,gau,1/sqrt(T),1e-06,1e-06,190.5199999999717,412.86660824950786,433.130607277108,20.263999027600164
2600,7,gau,1/sqrt(T),1e-06,1e-06,191.90999999997044,407.530999062758,449.0759572031476,41.54495814038961
2600,8,gau,1/sqrt(T),1e-06,1e-06,189.78999999997237,420.889532010411,454.54336153633903,33.65382952592802
2600,9,gau,1/sqrt(T),1e-06,1e-06,190.9499999999713,415.0649742621905,446.3919667444634,31.326992482272885
2700,0,gau,1/sqrt(T),1e-06,1e-06,200.079999999963,426.6454442097516,465.2917474649257,38.64630325517413
2700,1,gau,1/sqrt(T),1e-06,1e-06,204.11999999995933,440.35188537591597,466.22087856265637,25.868993186740397
2700,2,gau,1/sqrt(T),1e-06,1e-06,210.12999999995387,403.0913751587605,428.1102820244153,25.0189068656548
2700,3,gau,1/sqrt(T),1e-06,1e-06,202.55999999996075,416.6964549437372,452.5233650857422,35.82691014200503
2700,4,gau,1/sqrt(T),1e-06,1e-06,195.63999999996705,387.9254497964941,434.45582104989677,46.53037125340268
2700,5,gau,1/sqrt(T),1e-06,1e-06,200.32999999996278,419.8993063049737,456.6202978255071,36.7209915205334
2700,6,gau,1/sqrt(T),1e-06,1e-06,196.65999999996612,394.0445473262595,436.80476737655647,42.760220050296994
2700,7,gau,1/sqrt(T),1e-06,1e-06,203.98999999995945,405.3039256878564,438.6471655417741,33.34323985391768
2700,8,gau,1/sqrt(T),1e-06,1e-06,208.69999999995517,396.0678781472647,438.0190636664147,41.95118551914999
2700,9,gau,1/sqrt(T),1e-06,1e-06,195.3699999999673,382.36107967868827,416.7434441518972,34.38236447320895
2800,0,gau,1/sqrt(T),1e-06,1e-06,201.91999999996133,435.2790026169888,473.42762305676365,38.148620439774845
2800,1,gau,1/sqrt(T),1e-06,1e-06,199.9799999999631,418.7477959884071,448.6108121353318,29.86301614692468
2800,2,gau,1/sqrt(T),1e-06,1e-06,205.2599999999583,423.63444263085563,480.48106549148395,56.846622860628315
2800,3,gau,1/sqrt(T),1e-06,1e-06,204.07999999995937,449.81998052028854,485.77597197406084,35.9559914537723
2800,4,gau,1/sqrt(T),1e-06,1e-06,203.8199999999596,439.84294684273914,476.4272647052382,36.58431786249906
2800,5,gau,1/sqrt(T),1e-06,1e-06,201.14999999996203,429.5288211743055,474.2778661922704,44.749045017964875
2800,6,gau,1/sqrt(T),1e-06,1e-06,207.09999999995662,442.1600966531321,481.76242997394894,39.602333320816854
2800,7,gau,1/sqrt(T),1e-06,1e-06,200.36999999996274,400.90389996300036,440.22285858138946,39.318958618389104
2800,8,gau,1/sqrt(T),1e-06,1e-06,204.67999999995882,443.8159461492034,472.55600513528015,28.740058986076747
2800,9,gau,1/sqrt(T),1e-06,1e-06,199.47999999996355,470.1096701049005,505.107630284547,34.9979601796465
2900,0,gau,1/sqrt(T),1e-06,1e-06,205.75999999995784,463.976911078213,493.4451702415785,29.46825916336553
2900,1,gau,1/sqrt(T),1e-06,1e-06,203.57999999995982,468.27546392073816,500.50137392287814,32.22591000213998
2900,2,gau,1/sqrt(T),1e-06,1e-06,204.499999999959,431.69882606557695,471.13288115459125,39.434055089014294
2900,3,gau,1/sqrt(T),1e-06,1e-06,204.52999999995896,428.29214701901736,465.7877905338756,37.495643514858216
2900,4,gau,1/sqrt(T),1e-06,1e-06,204.489999999959,430.3503171841835,478.1267064370206,47.77638925283708
2900,5,gau,1/sqrt(T),1e-06,1e-06,207.6799999999561,421.4483127080172,461.9831137432697,40.534801035252485
2900,6,gau,1/sqrt(T),1e-06,1e-06,213.03999999995122,446.16324549218524,486.8157314260392,40.65248593385394
2900,7,gau,1/sqrt(T),1e-06,1e-06,237.86999999992864,452.0678373614289,507.98561817176756,55.917780810338684
2900,8,gau,1/sqrt(T),1e-06,1e-06,205.579999999958,464.36850024633935,509.7256142309647,45.35711398462536
2900,9,gau,1/sqrt(T),1e-06,1e-06,210.9699999999531,447.14215627876183,478.17012839382846,31.027972115066632
3000,0,gau,1/sqrt(T),1e-06,1e-06,207.9099999999559,446.04714724313504,484.9491946513525,38.90204740821747
3000,1,gau,1/sqrt(T),1e-06,1e-06,213.41999999995087,498.58990932206564,533.1640857746992,34.57417645263354
3000,2,gau,1/sqrt(T),1e-06,1e-06,210.94999999995312,468.90947509792557,506.76170732340796,37.852232225482396
3000,3,gau,1/sqrt(T),1e-06,1e-06,212.47999999995173,466.83987423201916,509.1995994749277,42.35972524290855
3000,4,gau,1/sqrt(T),1e-06,1e-06,208.1299999999557,477.7170401984834,515.5524040966184,37.83536389813497
3000,5,gau,1/sqrt(T),1e-06,1e-06,209.56999999995438,479.9699859405663,513.6254387496526,33.65545280908634
3000,6,gau,1/sqrt(T),1e-06,1e-06,209.38999999995454,442.4829075397953,479.6277302838853,37.14482274408999
3000,7,gau,1/sqrt(T),1e-06,1e-06,209.58999999995436,476.93945180099075,513.9984319474482,37.058980146457486
3000,8,gau,1/sqrt(T),1e-06,1e-06,209.1099999999548,455.9698619668895,494.2908005204212,38.32093855353173
3000,9,gau,1/sqrt(T),1e-06,1e-06,212.76999999995147,491.1523709271159,511.72313765681133,20.570766729695436
3100,0,gau,1/sqrt(T),1e-06,1e-06,226.71999999993878,513.1032169920286,556.4797853988291,43.376568406800516
3100,1,gau,1/sqrt(T),1e-06,1e-06,242.71999999992423,450.92073143957236,506.5217839795741,55.60105254000172
3100,2,gau,1/sqrt(T),1e-06,1e-06,213.20999999995107,469.7696161702065,515.5817351535552,45.81211898334868
3100,3,gau,1/sqrt(T),1e-06,1e-06,229.48999999993626,439.59989487573523,485.24465411711134,45.64475924137611
3100,4,gau,1/sqrt(T),1e-06,1e-06,213.4899999999508,491.12489356811705,528.0532844565757,36.928390888458694
3100,5,gau,1/sqrt(T),1e-06,1e-06,234.169999999932,481.4543715030238,529.2460432000581,47.7916716970343
3100,6,gau,1/sqrt(T),1e-06,1e-06,215.67999999994882,480.6001566718475,526.406022456071,45.8058657842235
3100,7,gau,1/sqrt(T),1e-06,1e-06,223.25999999994193,479.7175315947208,525.6801543276327,45.96262273291194
3100,8,gau,1/sqrt(T),1e-06,1e-06,215.49999999994898,478.5928350379959,513.6114965236563,35.01866148566046
3100,9,gau,1/sqrt(T),1e-06,1e-06,223.30999999994188,521.0358338035697,566.3154068951118,45.279573091542034
3200,0,gau,1/sqrt(T),1e-06,1e-06,234.9299999999313,486.0994542222643,517.8582365946535,31.75878237238919
3200,1,gau,1/sqrt(T),1e-06,1e-06,224.57999999994072,508.1288363929996,549.5639055775217,41.43506918452215
3200,2,gau,1/sqrt(T),1e-06,1e-06,221.23999999994376,534.7810107559128,571.1565233375621,36.37551258164933
3200,3,gau,1/sqrt(T),1e-06,1e-06,218.08999999994663,510.31831433999247,543.3217952270319,33.003480887039416
3200,4,gau,1/sqrt(T),1e-06,1e-06,222.98999999994217,476.088484343391,501.0947537597728,25.006269416381826
3200,5,gau,1/sqrt(T),1e-06,1e-06,219.72999999994514,496.8328665291772,538.0127781557302,41.17991162655301
3200,6,gau,1/sqrt(T),1e-06,1e-06,221.4099999999436,500.60888262011844,536.4479960672054,35.83911344708696
3200,7,gau,1/sqrt(T),1e-06,1e-06,220.00999999994488,521.4101649610801,555.7982208240877,34.388055863007594
3200,8,gau,1/sqrt(T),1e-06,1e-06,225.31999999994005,491.9692881662372,537.9823151156629,46.013026949425694
3200,9,gau,1/sqrt(T),1e-06,1e-06,217.50999999994715,529.2907698129496,560.2552210997499,30.964451286800227
3300,0,gau,1/sqrt(T),1e-06,1e-06,224.01999999994123,491.4639130238784,533.2027587852482,41.73884576136982
3300,1,gau,1/sqrt(T),1e-06,1e-06,227.33999999993821,520.9763969811855,557.2246322900739,36.24823530888841
3300,2,gau,1/sqrt(T),1e-06,1e-06,221.91999999994314,546.987072643829,579.6497104738007,32.662637829971686
3300,3,gau,1/sqrt(T),1e-06,1e-06,227.94999999993766,557.5256717766121,600.9673302812242,43.44165850461218
3300,4,gau,1/sqrt(T),1e-06,1e-06,223.9499999999413,499.9107245810436,554.0089055964561,54.09818101541248
3300,5,gau,1/sqrt(T),1e-06,1e-06,226.98999999993853,501.493756162292,561.7943914148593,60.300635252567304
3300,6,gau,1/sqrt(T),1e-06,1e-06,226.40999999993906,533.3884041704443,562.2673107114603,28.87890654101591
3300,7,gau,1/sqrt(T),1e-06,1e-06,223.2999999999419,468.84455479847827,515.5993978766319,46.75484307815361
3300,8,gau,1/sqrt(T),1e-06,1e-06,223.01999999994214,490.9618007059487,540.9414260893315,49.97962538338277
3300,9,gau,1/sqrt(T),1e-06,1e-06,222.56999999994255,534.4572724014193,572.8888179318129,38.43154553039358
3400,0,gau,1/sqrt(T),1e-06,1e-06,238.98999999992762,569.5675589089046,599.2756166178572,29.708057708952538
