T,s,MISE
100,0,0.0021386758189348805
100,1,0.0009479707302287757
100,2,0.0004754783383668136
100,3,0.0027738076083964358
100,4,0.002304093984281518
100,5,0.0015912773690677988
100,6,0.008598355365211531
100,7,0.0018799062366043073
100,8,0.0019076911154737059
100,9,0.006050243402337382
100,10,0.006643299463470098
100,11,0.00019547135296818266
100,12,0.003334920654377499
100,13,0.002591676485264635
100,14,0.003284949580496979
100,15,0.007445186101012307
100,16,0.005362483911574454
100,17,0.0011933675069755998
100,18,0.0011752798721752617
100,19,0.0023945383920129662
100,20,0.0017369519453545967
100,21,0.0010965304691356202
100,22,0.008987164101160586
100,23,0.0037104887185270812
100,24,0.0014061716133521173
100,25,0.0047753774273097075
100,26,0.00250971684024647
100,27,0.002269521413706443
100,28,0.0003679038626261127
100,29,0.002566564978099757
100,30,0.00027572064425751514
100,31,0.001632665203667137
100,32,0.0028374669890041597
100,33,0.004433284423490759
100,34,0.009861910637840192
100,35,0.006389283984615074
100,36,0.007491261015795456
100,37,0.01153461177828539
100,38,0.0037968775857930358
100,39,0.0077180390710027596
100,40,0.0016377616369607998
100,41,0.007958727352835633
100,42,0.0012608165787679326
100,43,0.00448395781029149
100,44,0.0025587336947784853
100,45,0.005312143648070575
100,46,0.0007940845321033386
100,47,0.003220763350561349
100,48,0.0031386981109035156
100,49,0.0037852828680484535
200,0,0.0010356665523313933
200,1,0.000947805521761592
200,2,0.0014878025343353829
200,3,0.0015152673580269397
200,4,0.0028760303414171735
200,5,0.0013331889970795146
200,6,0.0021591560755542002
200,7,0.00955408051436963
200,8,0.0002867253175425511
200,9,0.0007522581337542607
200,10,0.0008078770363606909
200,11,0.0010533337402349185
200,12,0.0007750602636996662
200,13,0.0004569484363677017
200,14,0.00018946232410780927
200,15,0.00022121310607970833
200,16,0.0005146275001277211
200,17,0.0013573354975893559
200,18,0.0008753332469309627
200,19,0.002527417023747466
200,20,0.000244521664366816
200,21,0.0008930081693746681
200,22,0.0018126184258199951
200,23,0.0023859303577546264
200,24,0.005571610929404228
200,25,0.0033020742895769166
200,26,0.0010521905178554434
200,27,0.0032395607484038656
200,28,0.0004713729323524716
200,29,0.005087814643603369
200,30,0.0003253875993748458
200,31,0.0004171571774219969
200,32,0.0001677178602175726
200,33,0.0004968851368509359
200,34,0.001072809532036854
200,35,0.0023256880023678197
200,36,0.0027985153821191346
200,37,0.0020330796625742716
200,38,0.0014394833787146218
200,39,0.003612642641829718
200,40,0.0001086421200278227
200,41,0.0009167930526802504
200,42,0.0009970031710803912
200,43,0.0006678429998394868
200,44,0.0008356357633723814
200,45,0.0016333572901304687
200,46,0.008738421097347205
200,47,0.0004412803350144259
200,48,0.00021119505062830915
200,49,0.001026944324615409
300,0,0.0018627515701326682
300,1,0.0005095096917416628
300,2,0.003892210658116272
300,3,0.0005737605427830675
300,4,0.001291893256264875
300,5,0.003199493836220096
300,6,0.0006336554946914148
300,7,0.00017827145379235756
300,8,0.0018398759377937772
300,9,0.00013194705219160462
300,10,0.012473644147904132
300,11,0.0002371616474536506
300,12,0.0019493182896879045
300,13,0.0037993648711038336
300,14,0.0014870805937474323
300,15,0.0012758062820694917
300,16,0.0007377446813199289
300,17,0.0009759382611950022
300,18,0.0027942358697924463
300,19,0.0004034733110331157
300,20,0.001268394304269709
300,21,0.0013299870333980098
300,22,0.0006745487177780787
300,23,0.0010084723270878415
300,24,0.0014830805043760862
300,25,0.0004243273351308319
300,26,0.004562325993974835
300,27,0.004166131476671442
300,28,0.00021822716619623083
300,29,0.0006002979539298837
300,30,0.0011967085292931311
300,31,0.0012831802394928813
300,32,0.0006820264964850229
300,33,0.002780980964994411
300,34,0.001478516380584507
300,35,0.0032515190629757045
300,36,7.760869540245389e-05
300,37,0.00017192549485885666
300,38,0.0036910681451528494
300,39,0.000782725508590708
300,40,0.0008293826314718002
300,41,0.00038495227403948824
300,42,0.0011766883015245692
300,43,0.0003682841725948044
300,44,0.00022496601173521683
300,45,0.002602355890236314
300,46,0.0039001994030918386
300,47,0.00035423765855825776
300,48,0.00074671687233128
300,49,0.0006014593491335564
400,0,0.000337799279284262
400,1,0.0004880424233351701
400,2,0.00016759501093494624
400,3,0.004627994666807868
400,4,0.001334684596996789
400,5,0.00021301811416824003
400,6,0.0010463443187451534
400,7,0.0002670608723639428
400,8,0.0011724035168598128
400,9,0.0005292563421621722
400,10,0.000548493235380423
400,11,0.002819969738110216
400,12,0.00022821530657999943
400,13,0.0007949612297597255
400,14,0.0004767633024367578
400,15,0.0013936608331742166
400,16,0.002136388790736405
400,17,0.0020819450206552527
400,18,0.00021460016774665908
400,19,0.0011528522088685936
400,20,0.0006838962924847944
400,21,0.002273106030785959
400,22,0.00029323764158924675
400,23,0.001890121833988058
400,24,0.001082382179832517
400,25,0.0002615051371308041
400,26,0.0010773035175294604
400,27,0.0015123066953618514
400,28,0.0011760326799349957
400,29,0.0013623329249030263
400,30,0.0003179882791061545
400,31,0.002297564782504874
400,32,0.0002750086941232983
400,33,0.004476479444993046
400,34,0.00043079957961734153
400,35,0.0006826842414828231
400,36,0.0006923076196705512
400,37,0.0009695606433249532
400,38,0.0002077377649149909
400,39,0.005294252694392328
400,40,0.0005049457619031131
400,41,0.0001972016395353049
400,42,0.0009626149443370947
400,43,0.0044203733014868
400,44,0.00018893911858724116
400,45,0.0008503331657608396
400,46,9.172395390393385e-05
400,47,0.0005922926366159946
400,48,0.0012747526365355373
400,49,0.0003759172478781532
500,0,0.0003674720453260719
500,1,0.0012799017266124778
500,2,0.0002774725758885337
500,3,0.0002391644579882148
500,4,0.0001212403001424213
500,5,0.0002379141834411934
500,6,0.0007968017768122949
500,7,0.0002552365034330226
500,8,0.0023347623843527755
500,9,0.00042065571690224376
500,10,0.0009701753707589457
500,11,0.00021265041047881293
500,12,0.00027333362974483154
500,13,0.0001280736137612265
500,14,0.0003169260049292217
500,15,0.00020136801524647176
500,16,0.0007448004650671226
500,17,0.0001437714442860172
500,18,0.0008472697721283721
500,19,0.0005357886666024461
500,20,0.0007925645182433859
500,21,0.0003447985368692224
500,22,0.0008002157844545879
500,23,0.004885842232334643
500,24,0.0002133919927221629
500,25,0.0003946025213646473
500,26,0.0004525263926796141
500,27,0.0005366392387421521
500,28,0.0004186696495619287
500,29,0.002801357099082328
500,30,0.0019028646358283518
500,31,0.0002250845148113833
500,32,0.0034952305767513496
500,33,0.0012915497147080951
500,34,0.0011497091168714013
500,35,0.0004585164284445142
500,36,0.0003614909943882994
500,37,0.002157684392426199
500,38,0.0001647602209414725
500,39,8.782168027919003e-05
500,40,0.0024512682689257765
500,41,0.0004536992321941349
500,42,0.002774096281114937
500,43,0.00026501109966769185
500,44,0.0009606120085674544
500,45,0.0021311895547494516
500,46,0.00035326712580000197
500,47,0.00015585287820732614
500,48,0.0007056943840603121
500,49,0.00018599124281382985
600,0,0.00034161277348518707
600,1,0.0017655097944590948
600,2,0.00031100894369605916
600,3,5.942772914188424e-05
600,4,0.00032057853956495133
600,5,0.0004539038876918959
600,6,0.00030564063766974533
600,7,0.0002072621903816969
600,8,0.0034229127164410685
600,9,0.0004024708743189379
600,10,0.00017590940127434603
600,11,8.522278826164307e-05
600,12,0.0001444842140199417
600,13,0.00032742576960254944
600,14,0.00018227388918610078
600,15,0.0005126873286899696
600,16,0.0003445511337756432
600,17,0.0003228537311290391
600,18,0.0010927397811167222
600,19,0.00014828450196693914
600,20,0.003752617870317447
600,21,0.0028211943872676125
600,22,0.0013927910473041823
600,23,0.00011640272219054576
600,24,0.0003485181934059592
600,25,0.0009284618247313491
600,26,0.0009584604023751364
600,27,0.00017203014578095978
600,28,0.0002019630335776037
600,29,0.0006834353620502683
600,30,0.0005660048244629396
600,31,0.0003452103138573158
600,32,0.0003573615200067355
600,33,0.0006293223077145852
600,34,8.92040605515719e-05
600,35,0.0008280086917850193
600,36,0.0003593240388047644
600,37,0.00011773866759196495
600,38,0.0004916171511385641
600,39,0.00023014831205755152
600,40,0.00047594170342290046
600,41,0.0006913772824519272
600,42,0.00031543026915901334
600,43,0.0007831802297423825
600,44,0.0017113708782879285
600,45,0.00015206772063011394
600,46,0.0017678551756621864
600,47,3.1515120804029255e-05
600,48,0.0019604998966013024
600,49,0.00045243107266426034
700,0,0.0018426392068946597
700,1,0.0003595112948286284
700,2,0.0002236775872143595
700,3,0.0015499039962066747
700,4,0.0003138277947370221
700,5,0.0005120468658865152
700,6,0.001715213629419214
700,7,0.000702705982135099
700,8,0.00018173167817767217
700,9,0.00045657442760248056
700,10,0.0004480359980618031
700,11,0.0001754265655921867
700,12,0.00012148653523530423
700,13,0.0003349326705529786
700,14,0.0008587534566633926
700,15,0.0004565931134702237
700,16,0.0005404528375569298
700,17,0.0008032224113779539
700,18,0.0006821947705551344
700,19,0.00028031701541552577
700,20,0.0003406376135949974
700,21,0.0007154080711754655
700,22,0.0011583555252019204
700,23,0.00030158083866105463
700,24,0.0003190578537827703
700,25,0.0015853810544663623
700,26,0.0010395849234080955
700,27,0.00024856912917282865
700,28,0.00045966692861749666
700,29,0.0013556416577837325
700,30,0.0007528523746815011
700,31,0.0010484897984146906
700,32,0.0003658252567921309
700,33,0.001023547118262196
700,34,0.00047984534695345496
700,35,0.0010024380460783653
700,36,7.89212333868268e-05
700,37,0.0009379471138213991
700,38,0.002302898112591768
700,39,0.0006699170824223476
700,40,0.00024974522632942173
700,41,0.0006287415953653103
700,42,0.002050698963009841
700,43,0.00014239567413767921
700,44,0.0002752560089074876
700,45,0.00019017299919228193
700,46,0.000454779947301056
700,47,0.00017016687272732592
700,48,0.0003174674428595084
700,49,0.0003875672249455938
800,0,0.0005290453906898875
800,1,0.0004339114700190311
800,2,0.00031234930985036993
800,3,0.00028892386463415823
800,4,0.0013075956858147346
800,5,0.00019538621491334285
800,6,0.0004619306825126678
800,7,0.0006954501043706454
800,8,7.067366187457965e-05
800,9,0.00015279928158503034
800,10,8.7826542122535e-05
800,11,0.0006622354094322751
800,12,0.00043754387565992053
800,13,0.0013120607769694565
800,14,0.00032552622910234406
800,15,0.00025622346794538825
800,16,0.0020877352499093964
800,17,0.0008366550571263623
800,18,5.552563219146166e-05
800,19,0.00011246532082917047
800,20,0.0016769824448406084
800,21,0.00012205706215441818
800,22,0.000663899697586939
800,23,0.00022439324089841111
800,24,0.0007866088291413989
800,25,0.00010083574980290555
800,26,0.00026154700140397594
800,27,7.611708198698677e-05
800,28,8.540689893989956e-05
800,29,0.000708612393534973
800,30,0.0005573068345852114
800,31,4.175964917855307e-05
800,32,0.00033426038805982236
800,33,0.000579662258789033
800,34,0.0008599594570885255
800,35,0.0008819661603560854
800,36,0.00011872784721764355
800,37,3.9163029611121305e-05
800,38,0.0001356892733221561
800,39,0.00023301068718930187
800,40,0.0003907001574129234
800,41,7.521644144615527e-05
800,42,0.00028752082262496564
800,43,0.0005560304042836422
800,44,0.0012528654051738631
800,45,0.0012442165901223473
800,46,0.00017434427503339745
800,47,0.0012077402787147586
800,48,0.00028713110204280177
800,49,0.00032723697604050293
900,0,0.0007923161850464207
900,1,8.917712825328495e-05
900,2,0.00025197356157214486
900,3,0.0017503329437904764
900,4,0.00040271280918442135
900,5,0.0005164443240303876
900,6,0.0007529491970249317
900,7,0.00044750277408646416
900,8,0.0008961294374787797
900,9,0.00013045243924457228
900,10,0.000284400543900453
900,11,8.501620813989314e-05
900,12,0.00035148882903069084
900,13,0.0006957121964252075
900,14,0.0004110782101918342
900,15,8.300333032011267e-05
900,16,0.0013293685888364994
900,17,0.0001211380818676623
900,18,0.00026207570371902507
900,19,0.00011885160116915851
900,20,0.00018247707293642156
900,21,0.0010732384211480303
900,22,0.0002242226934885475
900,23,0.0012857455128076213
900,24,0.0001898563012850911
900,25,0.0004339874488103852
900,26,0.0001506468260045317
900,27,0.000273139215467573
900,28,0.00017594620463685316
900,29,0.0013854285592348678
900,30,0.0001446114672956885
900,31,0.00035018938684611714
900,32,0.0004458391229605161
900,33,0.0002289608762610195
900,34,0.00040804986026385186
900,35,8.217429346623135e-05
900,36,0.0008465748916658119
900,37,0.00020547357891907489
900,38,0.0003858774644063953
900,39,0.00020281267408631918
900,40,8.292281797565579e-05
900,41,0.00035543078703402406
900,42,0.0005533039616065183
900,43,0.00035959027703545417
900,44,5.699273539560932e-05
900,45,0.0003273983640630405
900,46,0.0005350056453954261
900,47,0.0004124125356835617
900,48,0.0003895373328596614
900,49,6.864129867622844e-05
1000,0,0.0002121588451815875
1000,1,0.0005973624004179789
1000,2,0.00011507501922988818
1000,3,0.00018151385979419147
1000,4,0.00035707388846956925
1000,5,0.0018923924869770296
1000,6,0.00038215160280661534
1000,7,0.00011576290818261141
1000,8,0.00104606619217585
1000,9,0.00049672561834909
1000,10,0.0006626310773023114
1000,11,0.0003805610008041157
1000,12,0.0004942201249264697
1000,13,0.0003412214071715642
1000,14,0.00020699429597616052
1000,15,0.0002672783667764015
1000,16,0.0009100540594766021
1000,17,0.0006072588259169617
1000,18,0.0011495661261092948
1000,19,0.0001720810155388739
1000,20,0.0003260269641987427
1000,21,0.0002870442167721509
1000,22,0.0012997008764913558
1000,23,0.000660434685141945
1000,24,0.0001915436895327716
1000,25,0.00019263780856665775
1000,26,0.00017846188594268424
1000,27,0.0007071028404603314
1000,28,0.00023538619453841765
1000,29,4.7251114835070996e-05
1000,30,0.00011954148996882675
1000,31,0.00017964768596136744
1000,32,0.000889153890954744
1000,33,0.0005837345209079481
1000,34,0.0002701376699978238
1000,35,0.000927263783256065
1000,36,0.0009680131223088147
1000,37,0.00018203632098626863
1000,38,0.00044735702792777246
1000,39,0.00020382729428539552
1000,40,0.0005513719652862014
1000,41,0.0005968536316634468
1000,42,0.00033807571080361694
1000,43,0.00015170334532873638
1000,44,0.00016962453751841156
1000,45,0.00021180410113033163
1000,46,7.202266544392713e-05
1000,47,9.271046925677132e-05
1000,48,0.0002732846281195724
1000,49,0.00014653881979630385
1100,0,0.0003380209229628403
1100,1,0.0004729121316711805
1100,2,0.0001263857148642408
1100,3,7.1813419228508e-05
1100,4,0.0005552204625540469
1100,5,0.0001374578600277845
1100,6,0.0005428311207322674
1100,7,0.0001881577253462493
1100,8,0.00015664276230824953
1100,9,0.00013147215027481285
