T,s,SquareDiff
100,0,3.4560520176281926e-05
100,1,8.48637919311154e-05
100,2,2.4782936897628196e-06
100,3,8.398092464668732e-05
100,4,2.205008111780391e-05
100,5,6.207079837083952e-07
100,6,4.498716828551679e-06
100,7,6.207079837083952e-07
100,8,6.479492219781171e-06
100,9,4.442367787105323e-06
100,10,6.479492219781171e-06
100,11,7.453822833278104e-05
100,12,8.48637919311154e-05
100,13,6.479492219781171e-06
100,14,8.48637919311154e-05
100,15,5.206157970604749e-06
100,16,2.8489730156447224e-05
100,17,3.924569417244153e-05
100,18,6.479492219781171e-06
100,19,3.374749213301109e-05
100,20,8.48637919311154e-05
100,21,2.288610100076425e-06
100,22,7.841666230829544e-05
100,23,3.3601619012872094e-05
100,24,8.48637919311154e-05
100,25,0.00011157009150660419
100,26,3.4560520176281926e-05
100,27,6.479492219781171e-06
100,28,5.961255506814605e-05
100,29,1.7932834309855909e-06
100,30,6.479492219781171e-06
100,31,3.286829018859387e-05
100,32,3.4560520176281926e-05
100,33,1.9190375466555312e-05
100,34,6.8428951432688745e-06
100,35,6.267963253475706e-05
100,36,2.5958718191460335e-06
100,37,6.479492219781171e-06
100,38,6.207079837083952e-07
100,39,4.261639008221514e-05
100,40,6.5416183361223876e-06
100,41,8.123156555425306e-06
100,42,8.48637919311154e-05
100,43,3.4560520176281926e-05
100,44,4.4102902549671656e-05
100,45,9.620483306684454e-06
100,46,6.479492219781171e-06
100,47,2.8117151307998752e-05
100,48,8.520844985820375e-06
100,49,2.785042279489112e-05
200,0,8.48637919311154e-05
200,1,8.401299769244947e-05
200,2,6.479492219781171e-06
200,3,6.479492219781171e-06
200,4,9.831226725952518e-07
200,5,6.919802591054122e-06
200,6,8.48637919311154e-05
200,7,6.479492219781171e-06
200,8,3.876642935715767e-06
200,9,8.037377252990366e-07
200,10,6.479492219781171e-06
200,11,3.4560520176281926e-05
200,12,6.479492219781171e-06
200,13,6.479492219781171e-06
200,14,1.390366857268679e-06
200,15,4.578016027973363e-05
200,16,6.479492219781171e-06
200,17,4.830163921360846e-05
200,18,2.370515964203264e-05
200,19,6.479492219781171e-06
200,20,2.8882307017720978e-05
200,21,5.312450093825267e-06
200,22,3.469705084606205e-06
200,23,6.479492219781171e-06
200,24,2.123583354505317e-05
200,25,2.598170271726203e-05
200,26,8.690510633344395e-06
200,27,3.4560520176281926e-05
200,28,3.635911585600745e-05
200,29,0.00012086394262886023
200,30,3.4560520176281926e-05
200,31,5.5370806334022345e-05
200,32,3.4560520176281926e-05
200,33,3.845513434561179e-05
200,34,3.579249090620481e-06
200,35,7.2285239808342644e-06
200,36,1.4068659625174855e-06
200,37,3.199482105341077e-05
200,38,6.479492219781171e-06
200,39,9.31031977488234e-06
200,40,1.1179715687564766e-06
200,41,6.479492219781171e-06
200,42,8.218345568009112e-06
200,43,1.0862059453213774e-06
200,44,2.5384030101647892e-05
200,45,3.4560520176281926e-05
200,46,8.638625433420998e-06
200,47,6.479492219781171e-06
200,48,6.479492219781171e-06
200,49,3.3664654849362073e-06
300,0,5.351998052485469e-06
300,1,6.479492219781171e-06
300,2,1.8717016346318478e-05
300,3,9.255234504534222e-06
300,4,9.29719894540991e-06
300,5,6.397178849751665e-07
300,6,1.0643251560109982e-05
300,7,6.479492219781171e-06
300,8,2.1855888724815487e-05
300,9,6.479492219781171e-06
300,10,3.065581314855715e-05
300,11,3.4560520176281926e-05
300,12,3.065755850367109e-05
300,13,5.1016999195662144e-06
300,14,6.207079837083952e-07
300,15,5.216944695269994e-06
300,16,6.5855157721214e-06
300,17,1.1544227902372997e-05
300,18,3.558623097578603e-06
300,19,6.479492219781171e-06
300,20,3.4560520176281926e-05
300,21,6.821872970923146e-07
300,22,2.9663461319150404e-06
300,23,3.822929432724058e-06
300,24,7.767529778178062e-06
300,25,2.9697620594977406e-05
300,26,7.32417796732929e-06
300,27,2.5221283066353466e-05
300,28,8.530031417864593e-06
300,29,6.479492219781171e-06
300,30,6.479492219781171e-06
300,31,6.479492219781171e-06
300,32,5.8677025299201286e-05
300,33,3.018076002591643e-05
300,34,9.133288759791809e-07
300,35,2.806045689293105e-05
300,36,3.4560520176281926e-05
300,37,6.638540221504175e-06
300,38,1.9089454854372488e-06
300,39,2.8938209548076884e-06
300,40,1.764209106019379e-05
300,41,6.479492219781171e-06
300,42,2.237100850194248e-05
300,43,2.5094079418737547e-06
300,44,5.594943787557395e-06
300,45,5.230218609220065e-06
300,46,2.6917926626954814e-05
300,47,6.479492219781171e-06
300,48,3.209863084189201e-05
300,49,8.907031526971519e-06
400,0,6.479492219781171e-06
400,1,6.479492219781171e-06
400,2,2.6832027524106282e-05
400,3,6.479492219781171e-06
400,4,5.3847593286033956e-05
400,5,2.8509322420950155e-06
400,6,6.479492219781171e-06
400,7,6.479492219781171e-06
400,8,1.745354221439818e-06
400,9,6.479492219781171e-06
400,10,6.479492219781171e-06
400,11,3.7158015652394233e-06
400,12,1.9773822317723983e-05
400,13,2.866301192528244e-05
400,14,3.1328810794834917e-06
400,15,6.479492219781171e-06
400,16,1.942435085159212e-06
400,17,1.156458481677095e-06
400,18,4.3581924672564885e-05
400,19,8.673091554980416e-06
400,20,6.479492219781171e-06
400,21,6.479492219781171e-06
400,22,8.48637919311154e-05
400,23,7.420288395480889e-05
400,24,3.4560520176281926e-05
400,25,6.479492219781171e-06
400,26,4.005709294852038e-05
400,27,6.479492219781171e-06
400,28,2.3895562717951074e-05
400,29,3.254968133470822e-05
400,30,6.479492219781171e-06
400,31,2.3035468979496194e-05
400,32,6.479492219781171e-06
400,33,3.4560520176281926e-05
400,34,6.479492219781171e-06
400,35,6.479492219781171e-06
400,36,3.2834634894786105e-06
400,37,1.3230469220536481e-06
400,38,6.479492219781171e-06
400,39,5.686049873685027e-06
400,40,1.4884728959886529e-06
400,41,6.479492219781171e-06
400,42,7.964703573662863e-07
400,43,2.0283533534984058e-05
400,44,6.479492219781171e-06
400,45,3.30073806063908e-05
400,46,3.4560520176281926e-05
400,47,1.881481400133305e-06
400,48,6.28343235343147e-05
400,49,1.117070003879928e-06
500,0,3.189313907532601e-06
500,1,2.613015358045483e-06
500,2,4.544865199262349e-06
500,3,3.0089409366098016e-05
500,4,9.051793789228007e-06
500,5,6.479492219781171e-06
500,6,9.526568061414195e-05
500,7,5.98720582832443e-06
500,8,6.479492219781171e-06
500,9,6.207079837083952e-07
500,10,3.601391730846007e-05
500,11,6.479492219781171e-06
500,12,6.479492219781171e-06
500,13,3.4560520176281926e-05
500,14,6.479492219781171e-06
500,15,2.50335134590407e-06
500,16,1.938260422858235e-05
500,17,2.470221527837352e-06
500,18,6.479492219781171e-06
500,19,6.479492219781171e-06
500,20,1.398659613763209e-06
500,21,6.479492219781171e-06
500,22,3.426228910755047e-05
500,23,6.479492219781171e-06
500,24,6.479492219781171e-06
500,25,4.474427836258803e-06
500,26,3.994101704984511e-06
500,27,1.8709852357571237e-06
500,28,6.207079837083952e-07
500,29,4.761208310844501e-05
500,30,6.465320991899503e-06
500,31,1.8355110228693618e-06
500,32,6.479492219781171e-06
500,33,8.348303110153403e-07
500,34,6.207079837083952e-07
500,35,1.089346195150576e-06
500,36,6.479492219781171e-06
500,37,3.9741860751664085e-06
500,38,6.168332398941408e-06
500,39,1.7116172793748025e-06
500,40,3.4560520176281926e-05
500,41,6.479492219781171e-06
500,42,7.422137150051212e-07
500,43,3.4560520176281926e-05
500,44,6.479492219781171e-06
500,45,2.918944996510258e-05
500,46,4.954152374420309e-05
500,47,8.244465482119364e-06
500,48,6.207079837083952e-07
500,49,2.706346327886127e-05
600,0,6.479492219781171e-06
600,1,2.078385079198638e-05
600,2,6.479492219781171e-06
600,3,2.8081583754424595e-06
600,4,2.2680370292306352e-05
600,5,6.479492219781171e-06
600,6,6.479492219781171e-06
600,7,6.479492219781171e-06
600,8,6.479492219781171e-06
600,9,3.4560520176281926e-05
600,10,3.4560520176281926e-05
600,11,3.905084414876693e-06
600,12,3.4560520176281926e-05
600,13,6.479492219781171e-06
600,14,6.207079837083952e-07
600,15,5.583608411182961e-05
600,16,8.624204982717519e-06
600,17,2.9693347439854436e-05
600,18,3.4560520176281926e-05
600,19,4.156293252020203e-06
600,20,6.479492219781171e-06
600,21,9.344489638127557e-05
600,22,1.767294638875665e-05
600,23,5.745311756239685e-06
600,24,7.12100496027057e-06
600,25,2.5836358794692373e-05
600,26,3.1263376775342e-05
600,27,2.1984342118985293e-06
600,28,6.479492219781171e-06
600,29,2.75679533341848e-05
600,30,3.4560520176281926e-05
600,31,1.0348521528824388e-06
600,32,6.479492219781171e-06
600,33,6.479492219781171e-06
600,34,1.1066469481347645e-05
600,35,6.479492219781171e-06
600,36,2.4814549871955267e-06
600,37,6.479492219781171e-06
600,38,2.0045035575306185e-05
600,39,5.54576702282874e-06
600,40,2.6265648612221758e-06
600,41,1.207313913845388e-05
600,42,1.0910079824156162e-06
600,43,6.479492219781171e-06
600,44,3.4560520176281926e-05
600,45,6.479492219781171e-06
600,46,2.014615487366417e-05
600,47,3.4560520176281926e-05
600,48,4.178559718427404e-06
600,49,3.1338095424599305e-06
700,0,1.0673395657597808e-05
700,1,1.3779388488707947e-05
700,2,6.207079837083952e-07
700,3,1.1141177749024466e-05
700,4,6.479492219781171e-06
700,5,3.0041856201787997e-06
700,6,8.48637919311154e-05
700,7,2.327265496866231e-05
700,8,3.4560520176281926e-05
700,9,3.4443643759937666e-06
700,10,2.2212929458380775e-05
700,11,1.2468105783707169e-05
700,12,6.479492219781171e-06
700,13,2.305307926432765e-05
700,14,2.8058543899362714e-06
700,15,3.4560520176281926e-05
700,16,7.102284334067689e-06
700,17,3.4560520176281926e-05
700,18,7.311383143831249e-06
700,19,6.479492219781171e-06
700,20,3.4560520176281926e-05
700,21,3.4560520176281926e-05
700,22,2.7041000677314166e-05
700,23,1.0119113183527174e-05
700,24,1.9948842807881505e-06
700,25,6.479492219781171e-06
700,26,6.479492219781171e-06
700,27,3.4560520176281926e-05
700,28,6.479492219781171e-06
700,29,3.4560520176281926e-05
700,30,5.625611049111883e-05
700,31,6.4570015493838e-06
700,32,1.0129388484542255e-05
700,33,7.88625809976964e-06
700,34,2.63075794337927e-06
700,35,5.0472352430526285e-06
700,36,2.5424456264512235e-05
700,37,3.4560520176281926e-05
700,38,6.446567904677378e-06
700,39,6.479492219781171e-06
700,40,6.479492219781171e-06
700,41,8.666159495481319e-06
700,42,6.479492219781171e-06
700,43,8.872036279118765e-07
700,44,2.206320094478076e-05
700,45,7.147817630317169e-07
700,46,3.4560520176281926e-05
700,47,6.479492219781171e-06
700,48,6.479492219781171e-06
700,49,6.479492219781171e-06
800,0,6.479492219781171e-06
800,1,4.855663587612445e-06
800,2,6.479492219781171e-06
800,3,7.94404174577298e-07
800,4,6.479492219781171e-06
800,5,6.207079837083952e-07
800,6,2.2702410186924012e-05
800,7,4.394045855773603e-06
800,8,3.4560520176281926e-05
800,9,1.0588751939093947e-05
800,10,6.479492219781171e-06
800,11,3.4560520176281926e-05
800,12,1.8160991592624126e-06
800,13,3.0752780231060418e-06
800,14,6.479492219781171e-06
800,15,4.319137829667111e-06
800,16,6.479492219781171e-06
800,17,6.479492219781171e-06
800,18,2.3220932939361477e-05
800,19,2.416016241809646e-06
800,20,6.207079837083952e-07
800,21,3.4560520176281926e-05
800,22,6.479492219781171e-06
800,23,3.7571035425630165e-05
800,24,6.479492219781171e-06
800,25,1.6386590377653955e-06
800,26,3.4560520176281926e-05
800,27,7.601089666817367e-06
800,28,6.961416662761281e-07
800,29,5.260630177261175e-06
800,30,6.479492219781171e-06
800,31,3.579064507631023e-05
800,32,6.479492219781171e-06
800,33,6.479492219781171e-06
800,34,7.500634498210991e-06
800,35,6.479492219781171e-06
800,36,4.556320674239722e-06
800,37,1.0933469585500067e-06
800,38,6.207079837083952e-07
800,39,6.479492219781171e-06
800,40,7.810788485152822e-06
800,41,6.479492219781171e-06
800,42,4.079881108760967e-06
800,43,3.4560520176281926e-05
800,44,3.4560520176281926e-05
800,45,2.7212401801564856e-05
800,46,3.155206868312103e-05
800,47,8.406867356550935e-06
800,48,3.4560520176281926e-05
800,49,4.483330533336704e-05
900,0,6.479492219781171e-06
900,1,6.479492219781171e-06
900,2,6.207079837083952e-07
900,3,6.479492219781171e-06
900,4,4.530189289129496e-05
900,5,2.0375476599761836e-06
900,6,6.479492219781171e-06
900,7,6.479492219781171e-06
900,8,6.479492219781171e-06
900,9,2.6941287702333793e-06
900,10,6.479492219781171e-06
900,11,6.479492219781171e-06
900,12,4.008247379296451e-06
900,13,3.4560520176281926e-05
900,14,1.2069296215042142e-05
900,15,1.4332314731187765e-06
900,16,6.251579603026714e-06
900,17,3.4560520176281926e-05
900,18,2.201411681339545e-06
900,19,3.4560520176281926e-05
900,20,6.234841415901797e-05
900,21,8.431276276072236e-05
900,22,6.479492219781171e-06
900,23,2.5006447271228117e-06
900,24,6.479492219781171e-06
900,25,3.4560520176281926e-05
900,26,4.6780365264403196e-06
900,27,6.479492219781171e-06
900,28,3.4560520176281926e-05
900,29,2.4517455374339905e-06
900,30,2.3863846889142942e-05
900,31,6.479492219781171e-06
900,32,3.859117537113871e-06
900,33,6.207079837083952e-07
900,34,6.52970489941486e-07
900,35,1.1315892073625746e-06
900,36,3.207799469009892e-05
900,37,6.479492219781171e-06
900,38,3.635077535210722e-06
900,39,1.6944120769520098e-06
900,40,5.810475761526042e-06
900,41,6.345476198027219e-06
900,42,2.365624525654784e-06
900,43,6.479492219781171e-06
900,44,2.6678194432775948e-05
900,45,3.4560520176281926e-05
900,46,6.479492219781171e-06
900,47,0.00010057410663746247
900,48,2.921260727635461e-05
900,49,3.3969035866454464e-06
1000,0,2.117680730777683e-05
1000,1,1.7303734681006037e-06
1000,2,2.6979053066832924e-05
1000,3,2.5521360020736197e-05
1000,4,2.6279043426065257e-06
1000,5,2.0624148750945897e-06
1000,6,5.390467617813439e-06
1000,7,7.432492418098523e-07
1000,8,4.719293973637901e-06
1000,9,5.93652570747287e-06
1000,10,5.299642572829142e-06
1000,11,1.0736900211023944e-05
1000,12,6.207079837083952e-07
1000,13,3.7424977542197448e-06
1000,14,4.469261308297917e-05
1000,15,3.4560520176281926e-05
1000,16,4.413771320981719e-06
1000,17,6.479492219781171e-06
1000,18,7.251918546704634e-06
1000,19,2.1529115075540075e-06
1000,20,4.585882632204363e-06
1000,21,6.479492219781171e-06
1000,22,4.0375729242756615e-06
1000,23,6.563486003118334e-05
1000,24,6.259212365215324e-07
1000,25,6.479492219781171e-06
1000,26,6.479492219781171e-06
1000,27,6.479492219781171e-06
1000,28,7.045116706042987e-06
1000,29,6.479492219781171e-06
1000,30,3.80411912112294e-05
1000,31,3.908998552948686e-06
1000,32,2.2508787456201166e-05
1000,33,4.37427964019716e-05
1000,34,2.4193086988236843e-06
1000,35,6.479492219781171e-06
1000,36,2.107316966798626e-05
1000,37,6.479492219781171e-06
1000,38,6.207079837083952e-07
1000,39,3.4560520176281926e-05
1000,40,4.13230430909966e-06
1000,41,6.479492219781171e-06
1000,42,6.479492219781171e-06
1000,43,2.548538202153144e-05
1000,44,2.3548990791615222e-06
1000,45,4.398846418758888e-06
1000,46,2.3489452212436762e-05
1000,47,4.008645052021094e-05
1000,48,6.479492219781171e-06
1000,49,6.479492219781171e-06
1100,0,3.4560520176281926e-05
1100,1,2.5814588607673623e-06
1100,2,3.078527104852662e-05
1100,3,5.159501797218109e-05
1100,4,2.672596898460571e-05
1100,5,6.479492219781171e-06
1100,6,5.593971444059216e-06
